minutely,show_id,rating,director,duration,weighted_average_vote,total_votes,description,type,release_year,imdb_title_id,month_added,original_title,country,date_added,listed_in,title,season_duration,minute_duration,cast,year_added,seasonly
1,s40,TV-MA,Frank Ariza,81 min,3.8,245,"When her estranged mother suddenly dies, a woman must follow the quirky instructions laid out in the will in order to collect an important inheritance.",Movie,2019,tt6213294,July,"¡Ay, mi madre!",Spain,2019-07-19 00:00:00,"Comedies, International Movies","¡Ay, mi madre!",0,81,"Estefanía de los Santos, Secun de la Rosa, Terele Pávez, María Alfonsa Rosso, Mariola Fuentes, Alfonso Sánchez, Paz Vega, Marta Torné, Concha Galán",2019,0
1,s42,TV-MA,Óskar Thór Axelsson,106 min,6.1,4268,"Young urbanites renovating a rundown house, and a psychiatrist grieving his son's disappearance, are connected to a supernatural, decades-old secret.",Movie,2017,tt4966532,March,Ég man þig,Iceland,2018-03-27 00:00:00,"Horror Movies, International Movies",Ég man þig,0,106,"Jóhannes Haukur Jóhannesson, Ágústa Eva Erlendsdóttir, Elma Stefania Agustsdottir, Thor Kristjansson, Anna Gunndís Guðmundsdóttir, Sara Dögg Ásgeirsdóttir, Þröstur Leó Gunnarsson, Jóhann Sigurðarson, Sveinn Geirsson, Arnar Páll Harðarson",2018,0
1,s45,PG-13,Karyn Kusama,93 min,5.5,122927,"Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",Movie,2005,tt0402022,February,Æon Flux,United States,2018-02-01 00:00:00,"Action & Adventure, Sci-Fi & Fantasy",Æon Flux,0,93,"Charlize Theron, Marton Csokas, Jonny Lee Miller, Sophie Okonedo, Frances McDormand, Pete Postlethwaite, Amelia Warner, Caroline Chikezie, Nikolai Kinski, Paterson Joseph, Yangzom Brauen",2018,0
1,s70,TV-MA,"Scott Hussion, Seth Fuller",89 min,4.5,2313,"Upping the “13 Cameras” ante, this sequel finds a family renting a vacation house that’s been customized to violate their privacy.",Movie,2018,tt7476438,October,14 Cameras,United States,2018-10-27 00:00:00,"Horror Movies, Thrillers",14 Cameras,0,89,"Neville Archambault, Amber Midthunder, Brytnee Ratledge, Hank Rogerson, Chelsea Edmundson, John-Paul Howard, Lora Martinez-Cunningham, Brianne Moncrief",2018,0
1,s76,TV-MA,David Marmor,90 min,5.8,4936,"Seeking her independence, a young woman moves to Los Angeles and settles into a cozy apartment complex with a disturbing sense of community.",Movie,2019,tt7541106,August,1BR,United States,2020-08-23 00:00:00,"Horror Movies, Independent Movies, Thrillers",1BR,0,90,"Nicole Brydon Bloom, Giles Matthey, Taylor Nichols, Alan Blumenfeld, Celeste Sully, Susan Davis, Clayton Hoff, Earnestine Phillips",2020,0
1,s77,TV-MA,Raymond Wood,94 min,3.3,803,"Student filmmakers uncover occult rituals tied to an abandoned warehouse, then gradually realize the horror is closer than they think.",Movie,2018,tt8142044,July,1st Summoning,United States,2019-07-26 00:00:00,"Horror Movies, Independent Movies",1st Summoning,0,94,"Hayley Lovitt, Teddy Cole, Brook Todd, Ace Harney, Jason Macdonald",2019,0
1,s79,TV-PG,Abhishek Varman,143 min,6.9,23046,"Graduate students Krish and Ananya hope to win their parents' approval before they marry, but the two families clash over their cultural differences.",Movie,2014,tt2372678,August,2 States,India,2018-08-04 00:00:00,"Comedies, Dramas, International Movies",2 States,0,143,"Alia Bhatt, Arjun Kapoor, Ronit Roy, Amrita Singh, Revathy, Aru Krishansh Verma",2018,0
1,s89,TV-MA,Joey Curtis,101 min,3.8,1480,"In the frozen tundra of a futuristic Arizona where humans have been forced underground, a soldier hunts the bioengineered leader of a rebellion.",Movie,2016,tt4261326,March,2307: Winter's Dream,United States,2018-03-01 00:00:00,"Action & Adventure, Independent Movies, Sci-Fi & Fantasy",2307: Winter's Dream,0,101,"Paul Sidhu, Arielle Holmes, Branden Coles, Kelcey Watson, Anne-Solenne Hatte, Brad Potts, Timothy Lee DePriest, Fernando Argosino, Duchess Dukes, Harwood Gordon, Stormi Henley",2018,0
1,s97,PG-13,McG,117 min,6.2,85826,A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,Movie,2014,tt2172934,December,3 Days to Kill,"United States, France, Serbia",2020-12-01 00:00:00,Action & Adventure,3 Days to Kill,0,117,"Kevin Costner, Amber Heard, Hailee Steinfeld, Connie Nielsen, Tómas Lemarquis, Richard Sammel, Marc Andréoni, Bruno Ricci, Jonas Bloquet, Eriq Ebouaney",2020,0
1,s98,TV-MA,Nagesh Kukunoor,121 min,7.8,2205,"A reporter interviews three convicts on death row for a documentary but as their stories emerge, so do her own true motivations for soliciting them.",Movie,2003,tt0338490,December,3 Deewarein,India,2019-12-31 00:00:00,"Dramas, International Movies, Thrillers",3 Deewarein,0,121,"Naseeruddin Shah, Jackie Shroff, Juhi Chawla, Nagesh Kukunoor, Gulshan Grover, Aditya Lakhia, Shri Vallabh Vyas",2019,0
